Variable,RFImportance
125.4_119.0719m/z,0.0
267.46_119.0858m/z,0.0
174.51_119.0854m/z,0.0
89.48_119.5164m/z,0.0
163.03_120.0441m/z,0.0
57.39_120.0439m/z,0.0
186.15_120.0439m/z,0.0
199.75_120.0441m/z,5.150235508906082e-05
121.43_120.044m/z,0.0
85.34_120.0442m/z,0.00010312635407502725
103.56_120.0439m/z,0.0
252.13_120.0439m/z,0.0
84.04_120.0522m/z,0.0
125.43_120.0515m/z,0.0
42.28_120.0653m/z,0.0
79.04_120.0653m/z,0.0
163.03_120.0745m/z,0.0
282.12_120.0805m/z,0.00014686667892012934
184.63_120.0805m/z,0.0
125.39_120.0806m/z,0.0
140.38_120.0803m/z,0.0
177.06_120.0804m/z,0.0
294.78_120.0805m/z,1.4498477825968221e-05
192.6_120.0805m/z,1.0095488747174143e-05
150.65_120.0804m/z,0.0
200.29_120.0804m/z,7.389186893083997e-06
53.63_120.0804m/z,0.0
62.87_120.0783m/z,5.6196387486497304e-05
78.24_120.0806m/z,0.0
248.04_120.0805m/z,0.0
174.5_120.088m/z,0.0
125.42_120.112m/z,5.7333820740651916e-05
125.39_120.1652m/z,0.000594558137231341
89.45_120.5357m/z,0.0
167.07_120.9999m/z,0.0
266.3_120.9996m/z,0.0
193.88_121.0103m/z,0.0
126.96_121.0103m/z,0.0
43.3_121.0282m/z,0.0
151.17_121.0282m/z,0.0
167.03_121.0282m/z,0.0
237.25_121.028m/z,0.0
266.3_121.0281m/z,0.0
139.48_121.028m/z,0.0
186.91_121.028m/z,0.0
196.56_121.0279m/z,0.0
211.15_121.028m/z,0.0
77.22_121.0392m/z,0.0
57.6_121.0389m/z,7.486749762090383e-05
163.0_121.0472m/z,0.0
151.17_121.0609m/z,0.0
167.0_121.0605m/z,0.0
87.57_121.0643m/z,0.0
100.51_121.0644m/z,0.0
348.29_121.0644m/z,0.0
211.49_121.0643m/z,0.0
110.8_121.0643m/z,0.0
131.47_121.0644m/z,0.0
240.68_121.0643m/z,0.0
272.98_121.0638m/z,0.0
375.55_121.0645m/z,0.0
289.29_121.0643m/z,0.0
297.29_121.0643m/z,5.8717324750765376e-05
558.86_121.0646m/z,0.0
42.27_121.0682m/z,8.317251998830584e-05
146.89_121.0644m/z,0.0
93.49_121.0754m/z,0.0
125.42_121.0833m/z,0.0003260118082698019
87.49_121.0944m/z,0.0
354.08_121.1007m/z,0.0
257.67_121.1007m/z,0.0
313.72_121.1007m/z,0.0
391.59_121.1006m/z,0.0
456.3_121.1007m/z,0.0
333.89_121.1007m/z,0.0
270.92_121.1006m/z,0.0
193.96_121.1006m/z,0.0
283.11_121.1006m/z,0.0001226578317688202
151.17_121.113m/z,0.0
167.02_121.113m/z,0.0
266.24_121.113m/z,0.0
151.11_121.2033m/z,0.0
107.4_122.0233m/z,0.0002929450120046088
73.54_122.0231m/z,0.0
202.1_122.0266m/z,9.725843047257456e-06
266.28_122.0313m/z,0.0
237.24_122.0312m/z,0.0
81.96_122.0267m/z,0.0
186.85_122.0308m/z,0.0
151.16_122.0314m/z,0.0
167.01_122.0314m/z,0.0
77.2_122.0422m/z,0.0
57.6_122.0421m/z,0.00019719226426575303
220.18_122.0597m/z,0.0
102.96_122.0599m/z,0.0
61.28_122.0597m/z,0.0
87.81_122.0665m/z,0.0
133.06_122.0661m/z,0.0
39.67_122.0721m/z,0.0
109.57_122.0705m/z,0.0
125.39_122.0868m/z,0.0
87.88_122.096m/z,2.866108855499248e-05
445.81_122.096m/z,8.074528010982337e-05
175.39_122.0958m/z,3.913381161230773e-05
333.44_123.0072m/z,9.847798962239289e-05
86.42_123.0072m/z,0.0
104.77_123.0072m/z,0.00026121983832413085
43.8_123.0107m/z,7.679386420960558e-05
151.18_123.0333m/z,0.0
167.03_123.0335m/z,0.0
266.27_123.0332m/z,0.0
215.66_123.0436m/z,0.0
143.99_123.0436m/z,0.0003023343526122905
49.16_123.0549m/z,6.214106407673892e-05
38.73_123.0548m/z,0.0
67.13_123.0548m/z,0.0
105.89_123.0547m/z,0.0
124.14_123.0548m/z,0.0
75.64_123.0659m/z,0.0
62.24_123.0665m/z,0.0
87.2_123.0674m/z,5.4998754557188464e-05
46.84_123.0786m/z,4.222201037348731e-05
351.89_123.08m/z,5.834083500970072e-05
284.39_123.0801m/z,6.193706844888501e-05
165.17_123.0803m/z,8.719016885280101e-05
147.31_123.08m/z,0.0
115.81_123.0912m/z,0.00025644696133012316
52.83_123.0911m/z,0.0
87.1_123.0978m/z,0.00021690063544363382
317.14_123.1163m/z,7.406777539526593e-05
302.44_123.1163m/z,0.0
328.22_123.1164m/z,0.0
283.3_123.1163m/z,0.0
258.16_123.1163m/z,0.0
367.81_123.1163m/z,0.0
451.31_123.1164m/z,0.0
55.36_124.0389m/z,0.0
66.11_124.0394m/z,0.0
142.23_124.0389m/z,4.112411284501031e-05
182.62_124.039m/z,0.0
44.81_124.0392m/z,0.0
92.94_124.039m/z,0.0
130.08_124.0391m/z,0.0
110.05_124.0501m/z,1.3470011724798041e-05
75.72_124.05m/z,0.0
84.14_124.047m/z,0.0
166.49_124.0501m/z,0.0
126.08_124.0499m/z,8.535313037019146e-05
138.37_124.0498m/z,0.0
49.24_124.0574m/z,0.0
65.67_124.0753m/z,0.0
115.95_124.0753m/z,0.0
36.15_124.0751m/z,3.776418483472141e-05
84.05_124.0753m/z,0.0
93.06_124.0753m/z,0.00021602012721488759
235.19_124.0753m/z,0.0
262.8_124.0754m/z,0.0
366.48_124.0754m/z,0.0
101.97_124.0753m/z,0.0
77.09_124.0753m/z,0.0
158.23_124.0753m/z,0.0
165.13_124.0839m/z,0.0
49.0_124.0865m/z,0.0
43.32_124.1117m/z,0.00012455888825452298
171.66_124.1114m/z,0.0
262.59_125.0052m/z,0.0
135.59_125.005m/z,0.0
151.53_125.0051m/z,0.0
207.43_125.015m/z,0.0
290.65_125.0147m/z,0.0
183.62_125.0151m/z,0.0
127.78_125.0229m/z,0.0
144.82_125.0229m/z,0.0001577915247723914
104.35_125.0229m/z,0.0
43.56_125.0229m/z,0.0
83.04_125.0229m/z,0.0
